DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1900-9001-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Bengal,,,No,No,No,,,Km2,,,,1900,,,1900,,,1250000,,,,,,,,,,,2.730450936,,01-12-2006,25-09-2023
1905-0003-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Kangra,,,No,No,No,,7.8,Moment Magnitude,32.04,76.16,,1905,4,4,1905,4,4,20000,,,,,,,,,25000,847777,2.948887011,,01-07-2003,25-09-2023
1907-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1907,,,1907,,,1300000,,,,,,,,,,,3.058105048,,01-07-2003,25-09-2023
1916-0004-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Cuddalore, Pondicherry",,,No,No,No,,,Kph,,,,1916,11,21,1916,11,21,300,,,,,,,,,,,3.576717216,,01-07-2003,25-09-2023
1920-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1920,,,1920,,,2000000,,,,,,,,,,,6.562783883,,01-07-2003,25-09-2023
1920-0002-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1920,,,1920,,,500000,,,,,,,,,,,6.562783883,,01-07-2003,25-09-2023
1924-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1924,,,1924,,,300000,,,,,,,,,,,5.61118022,,01-07-2003,25-09-2023
1924-0003-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Punjab province,,,No,No,No,,,Kph,,,,1924,9,23,1924,9,23,1242,,1000000,,1000000,,,,,,,5.61118022,,01-07-2003,25-09-2023
1925-0004-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Bezwada, Masulipatam",,,No,No,No,,,Kph,,,,1925,5,10,1925,5,10,80,,,,,,,,,,,5.742435897,,01-07-2003,25-09-2023
1926-0001-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Vaccinated,,,,1926,,,1926,,,423000,,,,,,,,,,,5.808063736,,01-07-2003,25-09-2023
1926-0008-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Bengal,,,No,No,No,,,Km2,,,,1926,7,19,1926,7,19,,,,,,,,,,,,5.808063736,,01-07-2003,25-09-2023
1927-0008-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Gujarat, Ahmedabad, Baroda",,,No,No,No,,,Kph,,,,1927,7,23,1927,7,23,56,10,40000,,40010,,,,,,,5.709621978,,01-07-2003,25-09-2023
1927-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Nellore,,,No,No,No,,,Kph,,,,1927,11,1,1927,11,1,629,,,,,,,,,,,5.709621978,,01-07-2003,25-09-2023
1928-0018-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Godavari, Vizagapatnam",,,No,No,No,,,Km2,,,,1928,10,19,1928,10,19,36,,,2000,2000,,,,,,,5.643994139,,01-07-2003,25-09-2023
1935-0014-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Madras, Negapatam",,,No,No,No,,,Kph,,,,1935,11,13,1935,11,13,100,,,,,,,,,,,4.49550696,,01-07-2003,25-09-2023
1935-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1935,,,1935,,,60000,,,,,,,,,,,4.49550696,,01-07-2003,25-09-2023
1936-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Guntur (Madras),,,No,No,No,,,Kph,,,,1936,10,28,1936,10,28,233,,,,,,,,,,,4.561134799,,01-07-2003,25-09-2023
1942-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Orissa, West Bengal",,,No,No,No,,,Kph,,,,1942,10,14,1942,10,14,40000,,,,,,,,,,,5.348668865,,01-07-2003,25-09-2023
1942-9003-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Calcutta, Bengal region",,Famine,No,No,No,,,Km2,,,,1942,,,1942,,,1500000,,,,,,,,,,,5.348668865,,07-08-2006,25-09-2023
1943-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Rajputana,,,No,No,No,,,Kph,,,,1943,7,24,1943,7,24,5000,,,,,,,,,,,5.676808059,,01-07-2003,25-09-2023
1943-0012-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Madras,,,No,No,No,,,Kph,,,,1943,10,3,1943,10,3,,,30000,,30000,,,,,,,5.676808059,,01-07-2003,25-09-2023
1944-0006-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,Kph,,,,1944,6,14,1944,6,14,304,,,,,,,,,,,5.775249817,,01-07-2003,25-09-2023
1945-0005-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Gujarat, Punjab",,,No,No,No,,,Kph,,,,1945,9,18,1945,9,18,,,,2000,2000,,,,,,,5.906505495,,01-07-2003,25-09-2023
1948-0008-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,,,,,1948,9,18,1948,9,18,500,,,,,,,,,,,7.875340659,,01-07-2003,25-09-2023
1949-0013-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"East & West Godavari districts, Masulipatnam",,,No,No,No,,,Kph,,,,1949,10,27,1949,10,27,1000,,,,,,,,,,,7.809712821,,01-07-2003,25-09-2023
1950-0006-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Saurashtra,,,No,No,No,,,Km2,,,,1950,7,11,1950,7,11,45,,25000,,25000,,,,,,,7.908154579,,01-07-2003,25-09-2023
1950-0008-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Assam province,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",No,No,No,,8.6,Moment Magnitude,28.5,96.5,,1950,8,15,1950,8,15,1500,,,,,,,,,20000,252904,7.908154579,,13-04-2004,25-09-2023
1950-0011-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,West,,,No,No,No,,,Kph,,,,1950,9,12,1950,9,12,90,,,,,,,,,,,7.908154579,,01-07-2003,25-09-2023
1950-0026-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1950,6,,1950,6,,100,,,,,,,,,,,7.908154579,,01-07-2003,25-09-2023
